Utterance,Speaker,Emotion,Strategy
I remember the first time I came here,Client,joy,undefined
"and as I was leaving I looked at you,",Client,joy,undefined
and you looked at me and I lost my breath for a moment.,Client,joy,undefined
It's a compliment.,Client,joy,undefined
I know.,Therapist,neutral,Communication Skills
Don't worry. I'm not gonna jump you.,Client,joy,undefined
I'm in chemo... I can barely keep my food down.,Client,joy,undefined
"You know, they have drugs they can give you",Therapist,neutral,Communication Skills
that can counteract the nausea.,Therapist,neutral,Communication Skills
You're not even my type.,Client,joy,undefined
But your eyes are...,Client,joy,undefined
Bottomless.,Client,joy,undefined
I'm just saying.,Client,joy,undefined
Are you okay?,Therapist,neutral,Open question
I just... I forget I can't do that anymore,Client,neutral,undefined
because of the thing I have there now.,Client,neutral,undefined
Does the port hurt all the time?,Therapist,neutral,Open question
Only if I move a certain way.,Client,neutral,undefined
I can't remember them cutting me open.,Client,neutral,undefined
"I didn't faint or anything, did I?",Client,neutral,undefined
No.,Client,neutral,undefined
Do you remember them putting it in?,Client,neutral,undefined
Did you watch it happen?,Client,neutral,undefined
Not... not all of it.,Therapist,neutral,Communication Skills
'Cause you didn't want to see my breasts?,Client,neutral,undefined
"Trust me, there's nothing really to see.",Client,neutral,undefined
But thank you for not looking.,Client,neutral,undefined
And thank you for taking me.,Client,neutral,undefined
You're welcome.,Therapist,neutral,Communication Skills
"You know, It's funny... I've had so many conversations with you in my head",Client,joy,undefined
over these last two weeks.,Client,joy,undefined
"I mean, literally every day we've talked",Client,joy,undefined
"for, like, hours at a time.",Client,joy,undefined
We've had whole arguments in my head and then we've made up.,Client,joy,undefined
And what... What have we argued about?,Therapist,neutral,Open question
Whether life is just bullshit or there's something deeper behind it.,Client,joy,undefined
And what do I say?,Therapist,neutral,Open question
"Well, You don't say much even in my head, which I find frustrating.",Client,joy,undefined
But when I asked you,Client,neutral,undefined
"if it was all worth it, you said,",Client,neutral,undefined
"Of course it is, April,",Client,neutral,undefined
if you make yourself and others happy.,Client,neutral,undefined
What?,Client,joy,undefined
I'm such an optimist,Therapist,neutral,Self-disclosure
in your head.,Therapist,neutral,Self-disclosure
You wouldn't have said that?,Client,joy,undefined
What you're essentially doing,Therapist,neutral,Interpretation
is giving yourself advice in the form of my voice.,Therapist,neutral,Interpretation
I know.,Client,neutral,undefined
And very sound advice it is.,Therapist,neutral,Approval
You're taking very good care of yourself.,Therapist,neutral,Approval
Once I asked you not to give up on me.,Client,neutral,undefined
And what did I say?,Therapist,neutral,Open question
"You said, Never.",Client,neutral,undefined
I just want to haze you for a while.,Client,neutral,undefined
What do you think I meant by that?,Client,neutral,undefined
You're testing me.,Client,neutral,undefined
And how do you pass?,Therapist,neutral,Open question
I live.,Client,neutral,undefined
Do you get extra points for telling your parents?,Therapist,neutral,Open question
Isn't it amazing how many people have cancer?,Client,joy,undefined
"And just, like, having conversations, doing sudoku.",Client,joy,undefined
Did you see those two girls in the corner on the computer?,Client,joy,undefined
They were shopping online...,Client,joy,undefined
For underwear.,Client,joy,undefined
We have catheters coming out of our fucking hearts,Client,joy,undefined
and they're buying new bras.,Client,joy,undefined
"You know, sometimes a little denial is not a bad thing...",Therapist,neutral,Approval
but don't tell anybody I said that.,Therapist,neutral,Approval
I'm sorry I've been such an asshole in here.,Client,neutral,undefined
I told you... no apologies.,Therapist,neutral,Restatement
"I mean, I didn't answer your calls.",Client,neutral,undefined
I made you let me talk to Sienna during a session.,Client,disgust,undefined
I smashed my freaking model in your office and I left it for you to clean up.,Client,disgust,undefined
I must be the worst patient you've ever had.,Client,disgust,undefined
"Oh no, you're not.",Therapist,neutral,Approval
Thank you for taking me.,Client,neutral,undefined
And thank you for going.,Therapist,neutral,Communication Skills
"No, really.",Client,neutral,undefined
Thank you.,Client,neutral,undefined
I heard that.,Therapist,neutral,Approval
I had a bad night last week...,Client,sadness,undefined
Just a few days after the chemo.,Client,sadness,undefined
"I wanted to call you, but...",Client,sadness,undefined
Why didn't you call me?,Therapist,neutral,Open question
You canceled our session. I thought you needed a break.,Client,depression,undefined
"April, That was nothing to do with you.",Therapist,neutral,Interpretation
It doesn't matter.,Client,neutral,undefined
I called my best friend Leah instead.,Client,neutral,undefined
Leah.,Therapist,neutral,Restatement
I haven't heard you mention her name before.,Therapist,neutral,Restatement
What did you say to her?,Therapist,neutral,Open question
"Well, I...",Client,neutral,undefined
I had woken up from this dream,Client,neutral,undefined
where I was already dead,Client,neutral,undefined
or...,Client,neutral,undefined
"No, not exactly. It was more like I knew",Client,neutral,undefined
"that I was about to die, like something was coming to kill me.",Client,neutral,undefined
It was horrible.,Client,neutral,undefined
But...,Client,neutral,undefined
"I also kind of wanted it to happen,",Client,neutral,undefined
just to get it over with.,Client,neutral,undefined
There's another way of looking at that dream.,Therapist,neutral,Interpretation
Maybe it's just the part of you that refuses help...,Therapist,neutral,Interpretation
I don't want to talk about what the dream means.,Client,neutral,undefined
"I was just, you know, setting the stage.",Client,neutral,undefined
Understood.,Therapist,neutral,Approval
"Anyway, I woke up",Client,depression,undefined
"with this really high fever,",Client,depression,undefined
like so high I was shaking... I couldn't even hold a glass of water.,Client,depression,undefined
And I totally freaked.,Client,depression,undefined
"I mean, I really thought it was all about to end.",Client,depression,undefined
That's why I called Leah.,Client,depression,undefined
She came right over.,Client,depression,undefined
And she took one look at me and called 911.,Client,depression,undefined
On the way there the ambulance guys were asking me if I was on any medication,Client,depression,undefined
"that they should know about. And I said,",Client,depression,undefined
"Well, chemo.",Client,depression,undefined
So was Leah in the ambulance with you?,Therapist,neutral,Restatement
And her mouth just...,Client,depression,undefined
sort of hit the floor. And...,Client,depression,undefined
I was so out of it I just started apologizing.,Client,depression,undefined
"You know, I'm sorry. I wouldn't have called, but...",Client,depression,undefined
"I'm dying, and...",Client,depression,undefined
She took my hand and...,Client,depression,undefined
"she said, April, you don't die this quickly.",Client,depression,undefined
She sounds like a true friend.,Therapist,neutral,Restatement
She really is.,Client,depression,undefined
Yet you hadn't told her about the cancer till then.,Therapist,neutral,Restatement
I haven't seen her for a while.,Client,depression,undefined
"She's in law school, so she's been really busy.",Client,depression,undefined
Have you known each other for long?,Therapist,neutral,Open question
We shared a bus stop with a bunch of other kids.,Client,neutral,undefined
"When I was 10, Daniel came to school with me for the first time.",Client,neutral,undefined
He was trying kindergarten.,Client,neutral,undefined
I was so afraid that everybody was gonna make fun of him.,Client,neutral,undefined
"And that first day, I turned around",Client,neutral,undefined
"for just a second and when I turned back around,",Client,neutral,undefined
daniel was standing there singing,Client,neutral,undefined
and holding his penis.,Client,neutral,undefined
And I wanted to die right there.,Client,neutral,undefined
"I mean, everybody was staring at him.",Client,neutral,undefined
Nobody said anything,Client,neutral,undefined
until...,Client,joy,undefined
"Until Leah said, Daniel,",Client,joy,undefined
"you can sing or you can hold your penis,",Client,joy,undefined
but you cannot sing and hold your penis.,Client,joy,undefined
Everybody started laughing.,Client,joy,undefined
Then all the guys started singing and holding their own dicks.,Client,joy,undefined
It was amazing.,Client,joy,undefined
So she's always looked out for you?,Therapist,neutral,Open question
We've looked out for each other.,Client,neutral,undefined
We've looked out for each other.,Client,neutral,undefined
"Her mom died when we were in high school,",Client,neutral,undefined
so she came to live with us for a while.,Client,neutral,undefined
She's really more like a sister than a friend.,Client,neutral,undefined
"You know, her reaction when...",Therapist,neutral,Interpretation
When you called her reminded me of,Therapist,neutral,Interpretation
"how Kyle reacted when you called him,",Therapist,neutral,Interpretation
"when you were having trouble with the model, remember?",Therapist,neutral,Interpretation
You said that he also,Therapist,neutral,Restatement
came right over.,Therapist,neutral,Restatement
"Yeah, so?",Client,joy,undefined
So it seems like the people in your life are very committed to you.,Therapist,neutral,Interpretation
I have good taste in people.,Client,joy,undefined
I think it's more than that.,Therapist,neutral,Interpretation
I think that you demand,Therapist,neutral,Interpretation
incredible loyalty.,Therapist,neutral,Interpretation
So the only people you allow to get close to you,Therapist,neutral,Interpretation
"are the people you feel that can measure up,",Therapist,neutral,Interpretation
people you feel that can really go the distance.,Therapist,neutral,Interpretation
I'm incredibly loyal to them as well.,Client,neutral,undefined
"Yes, I know that.",Therapist,neutral,Approval
So why are you making it sound like it's a bad thing?,Client,neutral,undefined
I guess I just wonder why you work so hard to make friends who are...,Therapist,neutral,Interpretation
"so fiercely devoted to you and then,",Therapist,neutral,Interpretation
"when you need help, you seem reluctant to rely upon them.",Therapist,neutral,Interpretation
I called leah.,Client,anger,undefined
"Yeah, that's true,",Therapist,neutral,Approval
but you waited until you thought that you were dying.,Therapist,neutral,Interpretation
It's like a bank.,Client,neutral,undefined
"You keep taking money out,",Client,neutral,undefined
then eventually there'll be nothing left.,Client,neutral,undefined
So you think that there's only a limited amount of support,Therapist,neutral,Restatement
that one person can offer another,Therapist,neutral,Restatement
"and when that support is used up, it's gone forever?",Therapist,neutral,Restatement
"If Leah had cancer, would you get tired of helping her?",Therapist,neutral,Open question
But not everyone is like me.,Client,neutral,undefined
And what do you mean everybody is not like you?,Therapist,neutral,Open question
"In the emergency room,",Client,neutral,undefined
the doctor told me I should expect,Client,neutral,undefined
more fevers just like this one.,Client,neutral,undefined
"As he said it, I saw Leah's face.",Client,depression,undefined
She just looked terrified.,Client,depression,undefined
For herself or for you?,Therapist,neutral,Open question
"Enough. I get it. I mean, I get what you're trying to say.",Client,neutral,undefined
I just don't agree with you. Is that okay?,Client,neutral,undefined
Of course.,Therapist,neutral,Communication Skills
"Not everyone is like me, Paul.",Client,disgust,undefined
"I mean, I know you think I'm crazy, but I'm right.",Client,disgust,undefined
"I don't think you're crazy, April.",Therapist,neutral,Approval
You canceled our session last week.,Client,depression,undefined
"Yes, I'm...",Therapist,neutral,Communication Skills
I'm sorry about that.,Therapist,neutral,Communication Skills
How did you feel when you got the message?,Therapist,neutral,Open question
"Well, considering we've determined that I have a tough time",Client,neutral,undefined
"elying on people, it was a pretty ballsy move on your part.",Client,neutral,undefined
What happened?,Client,neutral,undefined
I had a family,Therapist,neutral,Communication Skills
emergency.,Therapist,neutral,Communication Skills
So what happened?,Client,joy,undefined
You don't want to tell me?,Client,joy,undefined
Come on. I told you I have cancer.,Client,joy,undefined
Just know that if I could've been there for you...,Therapist,neutral,Self-disclosure
I would have been.,Therapist,neutral,Self-disclosure
I know that.,Client,neutral,undefined
"Hey, how old are you?",Client,neutral,undefined
A bit... a bit passed 50.,Therapist,neutral,Self-disclosure
"'Cause I was thinking this week, when...",Client,depression,undefined
When Leah's mom died she was 35...,Client,depression,undefined
We were 15 and she was 35... And I remember,Client,depression,undefined
"her being so old, like middle-aged, and...",Client,depression,undefined
now she seems so young to me.,Client,depression,undefined
"And I was wondering,",Client,neutral,undefined
"you know, if I make it to 35,",Client,neutral,undefined
"will I look back on the time in here and think,",Client,neutral,undefined
When I was 23,Client,neutral,undefined
"and Paul was 50, he seemed middle-aged.",Client,neutral,undefined
And now he seems so young.,Client,joy,undefined
You'll have to let me know when you get there.,Therapist,neutral,Approval
So we'll keep in touch?,Client,neutral,undefined
My hair started falling out.,Client,depression,undefined
They say I'll...,Client,depression,undefined
wake up one day next week and the rest of it will just,Client,depression,undefined
be there on the pillow.,Client,depression,undefined
It's gonna be hard to keep it from my parents after that happens.,Client,depression,undefined
I guess you and I should start strategizing.,Client,depression,undefined
Or maybe you could just tell them.,Client,depression,undefined
I bet you and my dad would actually get along.,Client,depression,undefined
You're both sort of intense in the same way.,Client,depression,undefined
I think you should be part of that conversation.,Therapist,neutral,Advisement
We could ask them to come with you to therapy.,Therapist,neutral,Advisement
That might work.,Client,neutral,undefined
We could schedule something before your next chemotherapy session.,Therapist,neutral,Advisement
"No, we can't.",Client,depression,undefined
It's tomorrow.,Client,depression,undefined
So...,Therapist,neutral,Open question
Who's gonna take you?,Therapist,neutral,Open question
You?,Client,depression,undefined
And what about Leah?,Therapist,neutral,Open question
What about her?,Client,neutral,undefined
What about her?,Client,neutral,undefined
Wouldn't you prefer if she took you?,Therapist,neutral,Open question
Do you not want to take me?,Client,depression,undefined
It's not a question of whether I want to take you.,Therapist,neutral,Interpretation
"Okay, are you refusing to take me?",Client,anger,undefined
You still haven't told your parents.,Therapist,neutral,Restatement
So?,Client,anger,undefined
So you've got a whole system of support in place that you're not using.,Therapist,neutral,Interpretation
I don't want my mother to take me to chemo.,Client,anger,undefined
Why not?,Therapist,neutral,Open question
Because I want you to take me.,Client,anger,undefined
I think we should talk about why you still can't tell this to your parents.,Therapist,neutral,Advisement
Is this some kind of a joke?,Client,anger,undefined
"No, it's not.",Therapist,neutral,Communication Skills
"I am your therapist and you need one a therapist, but you also need a caregiver",Therapist,neutral,Advisement
and I cannot be both people.,Therapist,neutral,Advisement
You mean you won't.,Client,anger,undefined
It isn't appropriate.,Therapist,neutral,Interpretation
"Yeah, but you've already taken me.",Client,anger,undefined
I... I had to do that.,Therapist,neutral,Interpretation
Nobody forced you.,Client,anger,undefined
It was the right thing to do.,Therapist,neutral,Structuring the therapy
"April, you are very sick, but I crossed a line.",Therapist,neutral,Structuring the therapy
What line?! There's no line!,Client,anger,undefined
There needs to be a line if I'm to continue being your therapist.,Therapist,neutral,Structuring the therapy
You just drew the damn line!,Client,anger,undefined
"April, listen to me.",Therapist,neutral,Communication Skills
I knew you couldn't take it.,Client,anger,undefined
I knew as soon as you saw that...,Client,anger,undefined
"them put that port into my heart, you said, Fuck this shit.",Client,anger,undefined
This isn't my daughter. This isn't my problem.,Client,anger,undefined
What's going on?,Therapist,neutral,Open question
Tell me.,Therapist,neutral,Communication Skills
I can't.,Client,sadness,undefined
"Yes, you can.",Therapist,neutral,Approval
I can't do this.,Client,sadness,undefined
I'm gonna fail your fucking test.,Client,sadness,undefined
"No, you won't.",Therapist,neutral,Approval
People die of this shit every day.,Client,sadness,undefined
"But not everyone is as strong as you, remember?",Therapist,neutral,Approval
I thought you were gonna take care of me.,Client,sadness,undefined
I'm trying.,Therapist,neutral,Interpretation
"No, you're dropping me.",Client,sadness,undefined
"No, I'm not dropping you.",Therapist,neutral,Self-disclosure
"I'm here for you, April, as your therapist.",Therapist,neutral,Self-disclosure
Until you're not.,Client,sadness,undefined
I was so scared last week.,Client,sadness,undefined
I dreamt I was dead.,Client,sadness,undefined
I need you then. I know.,Client,sadness,undefined
I had a family,Therapist,neutral,Self-disclosure
emergency.,Therapist,neutral,Self-disclosure
What happened? Did your dog die?,Client,sadness,undefined
My father.,Therapist,neutral,Self-disclosure
What?,Client,sadness,undefined
It's okay.,Therapist,neutral,Communication Skills
He...,Therapist,neutral,Self-disclosure
He'd been sick for a while.,Therapist,neutral,Self-disclosure
Your father died?,Client,sadness,undefined
How could you let me,Client,sadness,undefined
go on blathering like this,Client,sadness,undefined
when your... your father just died?,Client,sadness,undefined
I appreciate your concern...,Therapist,neutral,Communication Skills
Were you close?,Client,sadness,undefined
"No, not really.",Therapist,neutral,Communication Skills
Why not?,Client,sadness,undefined
He left the family when...,Therapist,neutral,Self-disclosure
When I was young.,Therapist,neutral,Self-disclosure
So was your mom at the funeral?,Client,neutral,undefined
"No, my mom has been gone for a while.",Therapist,neutral,Self-disclosure
When?,Client,neutral,undefined
A long time ago.,Therapist,neutral,Self-disclosure
Jesus.,Client,neutral,undefined
"So you've had it pretty rough, haven't you?",Client,sadness,undefined
I'm... I'm sorry.,Client,neutral,undefined
We all have our fights to fight.,Therapist,neutral,Self-disclosure
"Well, look at you.",Therapist,neutral,Guiding the Pace and Depth of the Conversation
You deal with Daniel every day.,Therapist,neutral,Guiding the Pace and Depth of the Conversation
"God, why do you have to do that?",Client,anger,undefined
Do what?,Therapist,neutral,Open question
Turn everything around,Client,disgust,undefined
so that it's about me and my experience.,Client,disgust,undefined
Can't I just feel bad for you?,Client,disgust,undefined
Sure.,Therapist,neutral,Communication Skills
Go ahead.,Therapist,neutral,Communication Skills
So are you...,Therapist,neutral,Open question
Feeling bad for me now?,Therapist,neutral,Open question
Yes.,Client,joy,undefined
We're having a whole conversation in my head.,Client,joy,undefined
"I have expressed my sympathies about your father, and you have",Client,joy,undefined
gratefully and graciously accepted my condolences.,Client,joy,undefined
Good.,Therapist,neutral,Approval
"You know, having a fantasy life as powerful as that...",Therapist,neutral,Approval
The ability to play out whole scenarios,Therapist,neutral,Approval
in your head... that's...,Therapist,neutral,Approval
That's the mark of a highly intelligent person.,Therapist,neutral,Approval
Really?,Client,joy,undefined
Yes.,Therapist,neutral,Approval
"Yes, according to some studies.",Therapist,neutral,Approval
And what do the other studies consider it a sign of?,Client,neutral,undefined
Utter insanity.,Therapist,neutral,Communication Skills
Can we go back to talking about your chemo session tomorrow?,Therapist,neutral,Guiding the Pace and Depth of the Conversation
Who can take you?,Therapist,neutral,Open question
I don't know.,Client,neutral,undefined
I understand you don't want to talk to your mother...,Therapist,neutral,Approval
And I appreciate Leah can't take the stress...,Therapist,neutral,Approval
Yeah. She's got midterms.,Client,depression,undefined
But you must have other friends who would like to be there.,Therapist,neutral,Advisement
I guess so.,Client,depression,undefined
What about Kyle?,Therapist,neutral,Open question
"When you figure out who's gonna take you, will you let me know?",Therapist,neutral,Open question
Why?,Client,depression,undefined
I want to know that you've found somebody.,Therapist,neutral,Self-disclosure
"I'm sorry about your dad, Paul.",Client,neutral,undefined
Are you mad at me?,Client,neutral,undefined
Not at all.,Therapist,neutral,Communication Skills
But I am concerned about you.,Therapist,neutral,Self-disclosure
Do you want to tell me why you ran away from school?,Therapist,neutral,Open question
Bad day.,Client,depression,undefined
What happened?,Therapist,neutral,Open question
Can't I just sit here?,Client,depression,undefined
I just thought...,Therapist,neutral,Self-disclosure
"you came here so early, you must have something that you want to talk about.",Therapist,neutral,Self-disclosure
I told you...,Client,depression,undefined
my mom's still away and my dad's at work.,Client,depression,undefined
"But you've got keys to both their apartments,",Therapist,neutral,Interpretation
and you came here.,Therapist,neutral,Interpretation
Do you have any more ham?,Client,depression,undefined
You want me to make you another sandwich?,Therapist,neutral,Restatement
Is that okay?,Client,depression,undefined
Sure. I can do that.,Therapist,neutral,Communication Skills
"But I hope by now you understand that if there's something bothering you,",Therapist,neutral,Advisement
you can talk to me about it.,Therapist,neutral,Advisement
Somebody put dog shit in my locker.,Client,anger,undefined
That's terrible.,Therapist,neutral,Approval
When was this?,Therapist,neutral,Open question
I came down from the roof at recess,Client,anger,undefined
to get my gloves out of my locker.,Client,anger,undefined
When I opened it there was dog,Client,anger,undefined
"dog shit everywhere, all over my backpack and all my stuff.",Client,anger,undefined
And all my stuff. I went back to the roof to tell my teacher.,Client,anger,undefined
What did she say?,Therapist,neutral,Open question
She got a janitor to clean it up.,Client,anger,undefined
"But recess was over, so everybody knew what happened.",Client,anger,undefined
Do you have any idea who was responsible?,Therapist,neutral,Open question
"But nobody saw him,",Client,anger,undefined
so nothing's gonna happen to him.,Client,anger,undefined
"Yeah, well, I remember what he did to your shoes,",Therapist,neutral,Restatement
so I guess this would be his next logical step.,Therapist,neutral,Self-disclosure
All through math everybody laughed about it.,Client,anger,undefined
The teacher got upset 'cause no one was paying attention.,Client,anger,undefined
That was my fault too.,Client,anger,undefined
"Listen, somebody did something awful to you.",Therapist,neutral,Advisement
"That is not your fault, okay?",Therapist,neutral,Advisement
I asked my teacher if I could go to the bathroom.,Client,anger,undefined
But I went to the lobby instead.,Client,anger,undefined
"While the guard was talking to someone else, I snuck out.",Client,anger,undefined
You weren't kidding.,Therapist,neutral,Approval
You had a hell of a day.,Therapist,neutral,Approval
But I'm glad you came here so that we can talk about it.,Therapist,neutral,Approval
My dad's gonna be so mad.,Client,depression,undefined
And he's already really mad.,Client,depression,undefined
What's he mad about?,Therapist,neutral,Open question
Everything.,Client,depression,undefined
I've been staying with him for two weeks since mom went away.,Client,depression,undefined
"And he yells at me all the time, no matter what I do.",Client,depression,undefined
So What do you do when he yells at you?,Therapist,neutral,Open question
Let him yell.,Client,depression,undefined
Do you ever,Therapist,neutral,Open question
discuss the things you fight about?,Therapist,neutral,Open question
He doesn't talk to me unless he's yelling.,Client,depression,undefined
I think he broke up with Nina.,Client,depression,undefined
Did he tell you that?,Therapist,neutral,Open question
"No, but she doesn't come over anymore.",Client,depression,undefined
That's my fault too.,Client,depression,undefined
That can't be your fault.,Therapist,neutral,Approval
Nina told my dad to make better rules for me.,Client,depression,undefined
And then they had this big fight.,Client,depression,undefined
Now she doesn't come over.,Client,depression,undefined
And when I see her at school she doesn't smile at me.,Client,depression,undefined
Do you miss her?,Therapist,neutral,Open question
Not really.,Client,depression,undefined
But I think my dad does.,Client,depression,undefined
He did a really bad thing the day after the fight.,Client,depression,undefined
What did he do?,Therapist,neutral,Open question
I shouldn't tell you.,Client,depression,undefined
It's up to you.,Therapist,neutral,Communication Skills
He bought a six-pack of beer,Client,depression,undefined
and drank all of it and he fell asleep on the couch.,Client,depression,undefined
And what happened?,Client,depression,undefined
He didn't get up in time for work.,Client,depression,undefined
He yelled at me for that too.,Client,depression,undefined
Why didn't you wake me up?,Client,depression,undefined
But I didn't know I was supposed to do that.,Client,depression,undefined
There was no way you could've known what you were supposed to do.,Therapist,neutral,Approval
My mom was supposed to be back by now.,Client,depression,undefined
But she had to stay on her vacation an extra week.,Client,depression,undefined
Have you told her about the fights you've been having with your dad?,Therapist,neutral,Open question
"No, she'll just get sad.",Client,depression,undefined
"If I were in your shoes, I'd be really upset about all that.",Therapist,neutral,Approval
"You know, oliver, I keep thinking you've sunk as low as you can go,",Client,anger,undefined
but it turns out there's no bottom.,Client,anger,undefined
Why don't we just sit down? We can talk about,Therapist,neutral,Guiding the Pace and Depth of the Conversation
what happened to oliver today.,Therapist,neutral,Guiding the Pace and Depth of the Conversation
I get out of my meeting...,Client,anger,undefined
I have seven messages from your school.,Client,anger,undefined
What the hell were you thinking to just disappear like that?,Client,anger,undefined
Eric dumped dog shit all in my locker.,Client,anger,undefined
He did what?,Client,anger,undefined
Apparently during recess today some kid vandalized oliver's locker.,Therapist,neutral,Restatement
Oliver's locker.,Therapist,neutral,Restatement
Nobody saw who did it. But all the kids knew that it had happened.,Therapist,neutral,Restatement
I hate that fucking place and I'm not going back.,Client,anger,undefined
Nobody told me that.,Client,neutral,undefined
Why didn't you ask me before you started yelling?,Client,anger,undefined
Because you still shouldn't just run off from school.,Client,anger,undefined
It's dangerous and you know better.,Client,anger,undefined
I think that what your dad is trying to say is,Therapist,neutral,Approval
that he understands that you've had a bad day.,Therapist,neutral,Approval
And he's just concerned,Therapist,neutral,Approval
that you left school and you didn't tell anybody where you were going.,Therapist,neutral,Approval
I don't want to talk about this anymore.,Client,anger,undefined
I understand.,Therapist,neutral,Approval
"Why don't you just go outside and I'll talk to your dad, okay?",Therapist,neutral,Guiding the Pace and Depth of the Conversation
Where were you last week?,Client,anger,undefined
I'm sorry I couldn't be here.,Therapist,neutral,Self-disclosure
"First bess vanishes on this apparently permanent vacation,",Client,anger,undefined
and then you go awol.,Client,anger,undefined
It's like rats deserting a sinking ship.,Client,anger,undefined
"It was an emergency, luke.",Therapist,neutral,Restatement
It's an emergency over here too.,Client,anger,undefined
Every day he comes up with a new way to drive me up the fucking wall.,Client,anger,undefined
So you've had a tough couple of weeks?,Therapist,neutral,Restatement
Bess calls every day. And we lie and tell her everything's fine.,Client,anger,undefined
And she sa she needs a little more time.,Client,anger,undefined
That must be pretty stressful on you and oliver.,Therapist,neutral,Approval
First he suddenly decides he won't do his homework.,Client,anger,undefined
He says he's taking a stand on principle...,Client,anger,undefined
the principle that school is stupid.,Client,anger,undefined
Have you talked to him about it,Therapist,neutral,Open question
or were you hoping I would say something?,Therapist,neutral,Open question
"I took away his tv privileges and his computer privileges,",Client,anger,undefined
but he still won't do his homework.,Client,anger,undefined
"You know, He just sits there and stares at the wall.",Client,anger,undefined
"He certainly knows how to push your buttons, doesn't he?",Therapist,neutral,Approval
Next he decides to stop bathing.,Client,anger,undefined
What the hell am I supposed to do?,Client,anger,undefined
Climb into the shower with him and soap him down?,Client,anger,undefined
"I think Oliver feels powerless,",Therapist,neutral,Interpretation
so he's refusing to follow the rules,Therapist,neutral,Interpretation
because that's the only way that...,Therapist,neutral,Interpretation
he can get some control.,Therapist,neutral,Interpretation
"Yesterday,",Client,anger,undefined
"after he left for school,",Client,anger,undefined
I went into his room and looked under his bed.,Client,anger,undefined
"Past the mountain of dirty clothes, there was all this food hidden in there.",Client,anger,undefined
"I mean, half-empty packages of oreos and doritos and cheetos.",Client,anger,undefined
"I mean, there was...",Client,anger,undefined
Did you tell Oliver what you'd found?,Therapist,neutral,Open question
"Yeah, and he got furious,",Client,anger,undefined
ran into his room and slammed the door.,Client,anger,undefined
"I should've gone in and talked to him, but I was so exhausted.",Client,anger,undefined
I understand that you'd be alarmed by all this.,Therapist,neutral,Approval
But you know what? I've worked with a lot of kids,Therapist,neutral,Approval
in situations similar to Oliver's and...,Therapist,neutral,Approval
overeating is a pretty common response.,Therapist,neutral,Approval
"You know, this...",Client,depression,undefined
"This thing that happened at school today,",Client,depression,undefined
it isn't the first time.,Client,depression,undefined
Oliver gets bullied a lot.,Client,depression,undefined
Have you done anything about it?,Therapist,neutral,Open question
"Now that the school knows there's a problem,",Therapist,neutral,Interpretation
they're obligated to help you find a solution.,Therapist,neutral,Interpretation
"Well, now...",Client,depression,undefined
How are they gonna stop kids from picking on Oliver?,Client,depression,undefined
"I mean, you see why it happens, right?",Client,depression,undefined
"I mean, he's fat,",Client,depression,undefined
"he's shy, he doesn't have any friends and he smells bad.",Client,depression,undefined
"If I were his age, I'd probably bully him too.",Client,depression,undefined
"Well, the way he's been...",Therapist,neutral,Approval
"behaving lately, I can see how that would make you angry.",Therapist,neutral,Approval
"Sometimes I just wanna shake him,",Client,depression,undefined
"and say, if you keep acting like this, no one's ever gonna be your friend.",Client,depression,undefined
Is that what you want?,Client,depression,undefined
"That's unforgiveable, isn't it?",Client,depression,undefined
I think you wanna try and spare Oliver,Therapist,neutral,Approval
from the pain that he's going through right now.,Therapist,neutral,Approval
But you love him so much,Therapist,neutral,Approval
and that makes you frustrated and angry.,Therapist,neutral,Approval
"Yeah, but what good is loving him if I can't help him?",Client,depression,undefined
But isn't loving him helping him?,Therapist,neutral,Approval
I don't know anything about anything this week.,Client,depression,undefined
I don't know anything about anything this week.,Client,depression,undefined
"So what else has been going on, Luke?",Therapist,neutral,Guiding the Pace and Depth of the Conversation
Looks like I'm single again.,Client,depression,undefined
Nina and I had a huge fight about Oliver.,Client,depression,undefined
And the reason I asked her out in the first place,Client,depression,undefined
is because she liked him.,Client,depression,undefined
I thought she'd be good with him.,Client,depression,undefined
But it turned out she just isn't on my side.,Client,depression,undefined
And whose side do you think she's on?,Therapist,neutral,Open question
Last week Oliver dropped a carton of ice cream on the carpet.,Client,anger,undefined
Of course I got pissed off.,Client,anger,undefined
Then Nina came over and...,Client,anger,undefined
"for some stupid reason, I expected her to back me.",Client,anger,undefined
So you wanted her to help you,Therapist,neutral,Restatement
discipline Oliver.,Therapist,neutral,Restatement
"But instead, she started screaming at me.",Client,anger,undefined
"She said I wasn't spending enough time with Oliver him,",Client,anger,undefined
I wasn't setting clear boundaries for him.,Client,anger,undefined
And how did you respond to that?,Therapist,neutral,Open question
"I told her if I wanted somebody yelling at me all the time,",Client,anger,undefined
I would've stayed married to Bess.,Client,anger,undefined
That went over real well.,Client,depression,undefined
"You know, at first, Nina was a lot of fun.",Client,neutral,undefined
I could come home at the end of the day and just relax with her.,Client,neutral,undefined
"Then, all of a sudden, she started",Client,anger,undefined
"scrutinizing my every move, marshalling evidence against me.",Client,anger,undefined
"I don't know, Paul.",Client,anger,undefined
Why do I keep choosing these crazy women?,Client,anger,undefined
"I'm not so sure, Luke, that it's the women who are crazy.",Therapist,neutral,Self-disclosure
I think it's the position that you're putting them in.,Therapist,neutral,Self-disclosure
So you're saying it's all my fault?,Client,neutral,undefined
